,Topic,Count,Name,Representation,Llama2,Representative_Docs,mean,sem,median
3,2,767,2_insurance_employment_ei_workers,"['insurance', 'employment', 'ei', 'workers', 'unemployed', 'benefits', 'she', 'people', 'are', 'seasonal']",Employment Insurance Reform,"['Mr. Speaker, while increasing numbers of workers are losing their jobs and applying for employment insurance—and in spite of repeated calls for the elimination of the two-week waiting period and improved eligibility and training opportunities—the only reform this government has made has been to steal billions of dollars from the employment insurance fund. How can workers have any hope that this government will make the changes to employment insurance that are needed to protect the unemployed?', ""Mr. Speaker, while the economic recovery may be underway, the employment crisis is continuing. Now, more than ever, the employment insurance system has to be reformed to be made more accessible. According to the human resources department's website, barely 45% of unemployed people manage to qualify for employment insurance. Women are even worse off, with two out of three unemployed women not having access to employment insurance. What is the government waiting for to ensure that the EI program is a true insurance program against job loss?"", 'Mr. Speaker, new Statistics Canada data shows that only 40% of unemployed workers collect employment insurance benefits. In other words, over half of these people are not getting a service for which they pay. This is the lowest access rate in 10 years. It is outrageous. The EI fund belongs to workers and employers, not to the Conservatives. Why restrict access to employment insurance even more for those who need it most and who paid for this program?']",0.49870023,0.006167270386694016,0.5200464
13,12,510,12_privacy_bill_information_c51,"['privacy', 'bill', 'information', 'c51', 'security', 'canadians', 'personal', 'oversight', 'csis', 'to']",Privacy Oversight and Security Legislation,"[""Mr. Speaker, Canadians and many experts are increasingly concerned about Bill C-51. Now we can add to that long list Canada's Privacy Commissioner, Daniel Therrien, who said he is very concerned about the repercussions of Bill C-51 on people's privacy and the protection of their personal information. He is calling for better oversight mechanisms for intelligence agencies. Will the minister listen to the commissioner and will he be open to amendments?"", ""Mr. Speaker, it is clear that Conservatives do not take the privacy of Canadians seriously. The commissioner herself has raised concerns about Bill C-12. To paraphrase the Privacy Commissioner, the Conservatives are taking a soft approach when it comes to protecting Canadians' privacy online. The commissioner made it clear. The present lack of oversight for online snooping is putting Canadians' privacy at risk. When will the Conservative government agree that we need a tougher law, better oversight, and reporting mechanisms? When will the Conservatives start protecting Canadians' privacy online?"", ""Mr. Speaker, yesterday the Conservatives' nominee for privacy commissioner testified that even he is in favour of a parliamentary committee to look at the way that Canada's security intelligence agencies are overseen. This is something that the NDP has long called for. Now that even the government's own hand-picked privacy commissioner is echoing our call, will the minister reconsider and agree to our proposal for a committee to make recommendations on how it can strengthen parliamentary oversight of the security and intelligence activities of the government while protecting Canadians' privacy?""]",0.5058946,0.00709767484667407,0.51730937
48,47,138,47_securities_commission_quebec_quebecs,"['securities', 'commission', 'quebec', 'quebecs', 'toronto', 'finance', 'financial', 'canadawide', 'jurisdictions', 'jurisdiction']",Quebec Securities Jurisdiction,"[""Mr. Speaker, in the budget, the government stated that it plans to create a Canada-wide securities commission, which is something that falls under the jurisdiction of Quebec and the provinces. But in the budget speech, the Minister of Finance said, and I quote, “We have been... keeping our eye on core federal responsibilities”. Could the Prime Minister explain to us how he plans on creating a securities commission while still respecting Quebec's areas of jurisdiction, which he claims is one of his priorities?"", ""Mr. Speaker, the budget is clear. The government intends to move forward with its plan to create a single securities commission. The financial and political elite of Toronto have banded together to bring the headquarters of the organization to their city, which just shows that the feds have much more than an economic plan in mind. It is an attack on Montreal. This Conservative government claims to respect the jurisdictions of Quebec. Why does it not recognize that securities fall under Quebec's jurisdiction?"", ""Mr. Speaker, the federal government wants to interfere in Quebec's jurisdiction by imposing a Canada-wide securities commission, a decision that, according to a study by SECOR Group, would be harmful to Quebec, its financial institutions, its businesses and its jobs. In light of such negative findings, how can the Conservative government, which claims to respect jurisdictions, be so stubborn as to propose a Canada-wide securities commission that would go against the economic and financial interests of Quebec?""]",0.50602543,0.018808862509881823,0.537787
0,-1,13357,-1_the_to_of_and,"['the', 'to', 'of', 'and', 'is', 'in', 'that', 'minister', 'mr', 'speaker']",Social Welfare Policy,"[""Mr. Speaker, during the parliamentary break week, Liberals were out listening to Canadians. As I met with Canadians in small communities in northern Manitoba, Nunavut and rural Quebec, they told me they did not understand why the Conservative government had it in for our fellow citizens who were most in need. Over and over again we heard about the Conservative government's cuts to literacy funding, a cruel blow to those adult Canadians who cannot read or write but want to better their lives. Why is the government picking on those Canadians? Why is the Prime Minister giving the back of his hand to the most vulnerable in our country?"", 'Mr. Speaker, the Prime Minister does not understand the real economy. People are losing their jobs at a rate that is vitally affecting their families. Unemployment is rising. The jobs that are being created are part time and temporary. People cannot pay their bills with those kinds of jobs. That is not a real recovery. More than a million and a half Canadians are out of work and what do the Conservatives do? They give $20 billion in tax breaks to the most profitable corporations. Why does the Prime Minister not understand that he should work with us, use the New Democratic approach of targeted investments to create good, real--', 'Mr. Speaker, what I said during the election, and have said for years and have put into practice, is I am ready to work with other parties in the House, and we have evidenced that with all parties. It is clear that the Prime Minister does not understand this. He has been unwilling to work with other parties. That is why he has lost the confidence of the House. That is what is happening here. He used to say that the prime minister had a moral obligation to respect the will of the House. He is refusing to allow a vote. He knows full well he has lost the confidence. When will he recognize that fact and turn over power to those who have—']",0.50815815,0.0016651362298025693,0.5263349
57,56,122,56_abortion_maternal_women_health,"['abortion', 'maternal', 'women', 'health', 'womens', 'debate', 'abortions', 'ideology', 'g8', 'conservative']",Reproductive Rights and Abortion Access,"['Mr. Speaker, the Conservative government says it does not wish to reopen the abortion debate. Cardinal Ouellet candidly admitted yesterday that he was raising the abortion issue now because the Conservative government had revived the debate by excluding abortion from its maternal health policy for developing countries. Does the Prime Minister realize that because of him and his refusal to include abortion in his maternal health policy for foreign nations the abortion debate is again raging in Canada and Quebec?', 'Mr. Speaker, the Conservative government has reopened the abortion debate by announcing that it will not be funding abortion services abroad. A number of groups provide access to abortion as part of their family planning programs. Doctors Without Borders is one such group. Can the government tell us whether the groups will lose all their funding for maternal health simply because they provide information on or access to abortion?', ""Mr. Speaker, the Prime Minister's entourage has expressed surprise that funding for international maternal health could lead to a debate on abortion. However, the Conservative caucus has tried to reopen the debate through back-door measures that would limit access to abortion. They refuse to admit it here, but they do not hide their intentions from anti-abortion groups. Will the government admit that the best way to not reopen the abortion debate is to fund projects that offer freedom of choice to women in developing countries?""]",0.5099366,0.015467284257691274,0.51848996
62,61,108,61_environmental_environment_assessment_assessments,"['environmental', 'environment', 'assessment', 'assessments', 'oil', 'sands', 'conservatives', 'projects', 'are', 'energy']",Environmental Protection and Assessment Reform,"['Mr. Speaker, these are not going to be just short-term changes to the environmental protection legislation. They are going to be permanent. They are essentially going to say that for programs like the building Canada, green infrastructure and rural infrastructure programs, there are not going have to be any federal environmental assessments in the future. That means bridges, highways and so on. As long as they have federal funds, they will be exempted from environmental assessment. This is a major step backwards. It could be seen as a plan to exempt Tory slush fund projects, but I am sure we will be told no. Why are the Conservatives gutting the environmental—', ""Yes, with their Liberal allies the Conservatives got it through, Mr. Speaker, but the NDP stood and voted against it. Last year the Conservatives and their faithful Liberal servants joined forces to scrap Canada's 100-year-old Navigable Waters Protection Act. This year, they are teaming up again and future generations will pay the price because meaningful environmental assessment will be a thing of the past. Yesterday the Minister of the Environment stated that he was reducing environmental assessment because that is what everyone has been asking for. If the minister truly believes that Canadians want less environmental protection, why does he not have the courage to remove environmental assessments from Bill C-9, the dumpster bill, and submit it to a vote?"", ""Mr. Speaker, speaking of projects that no longer require environmental assessment, let us talk about the Oshawa ethanol plant. Until the Conservatives rammed through their bill to dismantle the Environmental Assessment Act, the project was going to be subject to a full federal environmental assessment, but thanks to the minister's reckless changes the federal government has abandoned this process. The same project on one day deserves environmental assessment and the next day it does not. Why are the Conservatives so afraid to let communities have their say?""]",0.5127916,0.01692437490680046,0.52660537
75,74,85,74_information_access_commissioner_senate,"['information', 'access', 'commissioner', 'senate', 'act', 'to', 'the', 'it', 'conservatives', 'government']",Access to Information Reform,"[""Mr. Speaker, on the one hand, the Conservatives are boasting about their open government policy, but on the other they want to restrict access to information and take even more money out of users' pockets. The Information Commissioner has suggested eliminating access-to-information fees completely, not increasing fees for journalists to $200 per request, as the Conservatives are proposing. If the Conservatives are serious about their so-called open government policy, why do they want to restrict access to information?"", ""Mr. Speaker, the Information Commissioner's report confirms what the NDP has been saying for years: the access to information system is outdated and ineffective. The Conservatives campaigned on transparency and accountability. However, once in power, they voted against the NDP's Bill C-567, which would have given the commissioner the tools needed to expose government corruption. Will the Conservatives finally listen to the commissioner and the NDP and strengthen the Access to Information Act?"", ""Mr. Speaker, yesterday the Prime Minister spoke in the House about his election promise to implement the Information Commissioner's recommendations for greater access to information. Now we learn that the government did not even consult with the Information Commissioner until after it tabled its new legislation in the House. The Information Commissioner offered to work with the new government before it introduced the legislation. It did not even bother to return his calls. Why did the government ignore the views of the very parliamentary officer who was so important to it during the election campaign?""]",0.5229681,0.017716710739341262,0.5453094
50,49,134,49_cadman_chuck_offer_financial,"['cadman', 'chuck', 'offer', 'financial', 'considerations', 'tape', 'he', 'prime', 'cadmans', 'was']",Political Interference in Cadman Affair,"[""Mr. Speaker, by way of defence, the government stated that Chuck Cadman himself declared in an interview that he never received a financial offer. In the interview, Mr. Cadman referred to the meeting he had with the Prime Minister on May 19, 2005. The government's defence does not stand up because two advisers close to the current Prime Minister, Messrs. Finley and Flanagan, visited Mr. Cadman on May 17, 2005 and, according to Mrs. Cadman, made him an offer. Will the Prime Minister admit that Mr. Cadman never commented publicly on the May 17 meeting, when Mr. Finley and Mr. Flanagan allegedly made an actual financial offer."", ""Mr. Speaker, in an interview he gave to Chuck Cadman's biographer in September 2005, the Prime Minister acknowledged that he had been informed of the negotiations between representatives of his party and Mr. Cadman. He also said quite clearly, “Of the offer to Chuck, it was only to replace financial considerations he might lose due to an election”. Can the Prime Minister confirm what he said in the interview: that he was informed of the discussions between his party and Chuck Cadman and that financial considerations had been linked to those discussions?"", ""Mr. Speaker, on Monday, when asked about the offer made to Chuck Cadman, the Parliamentary Secretary to the Minister of Public Works replied, and I quote, “—the Prime Minister, like everyone in our caucus, knew that Chuck Cadman had received an offer to rejoin our caucus—” If the Prime Minister knew about the offer, as the parliamentary secretary said, why did he not mention it during the interview he gave to Chuck Cadman's biographer in September 2005?""]",0.5257697,0.017120117853611432,0.5423105
36,35,179,35_quebec_economic_imbalance_development,"['quebec', 'economic', 'imbalance', 'development', 'fiscal', 'regions', 'of', 'aerospace', 'boeing', 'his']",Quebec Regional Development Funding Cuts,"['Mr. Speaker, what we want is for Quebec to have full power to develop its own regions. And until then, Quebec has the right to have its fair share. In western Canada, where the economy is booming, the government is planning a $16 million increase in the economic development budget for 2008-09, while in Quebec, which has been hit by the forestry and manufacturing crisis, the government is cutting $107 million. Does the Minister of the Economic Development Agency of Canada for the Regions of Quebec think he is still representing the interests of Quebec well when his own government is focusing on the west and its rich oil companies?', ""Mr. Speaker, the Minister of the Economic Development Agency of Canada for the Regions of Quebec should realize that when he takes cheap shots at Quebec's Minister of Economic Development, Innovation and Export Trade, he is attacking the Quebec nation's approach to economic development. This economic model, which includes non-profit organizations, has proven its effectiveness and has the support of elected representatives and stakeholders throughout Quebec. Does the minister understand that he is the only person who does not recognize that the change he is proposing is actually nothing but a mistake, and will he restore funding for these organizations, which are vital to regional development in Quebec?"", ""Mr. Speaker, the regions of Quebec have been penalized by this government, which is stubbornly keeping the cuts to the not-for-profit economic organizations that provide structure for regional development in Quebec. Does the Minister of State (Economic Development Agency of Canada for the Regions of Quebec) understand that because of his government's stubborn ideological approach to these organizations, Conservatives from Quebec no longer have any credibility when they talk about the economy?""]",0.5259398,0.012321750143734484,0.5483279
55,54,124,54_targets_1990_greenhouse_carbon,"['targets', '1990', 'greenhouse', 'carbon', 'exchange', 'quebec', 'gas', 'emissions', 'kyoto', 'reference']",Emissions Reduction Targets and Kyoto Protocol,"['Mr. Speaker, the Minister of the Environment maintains that he has an action plan and that most companies currently using dirty technology will have to adapt to his action plan. What the minister is really proposing is to help the oil and gas companies at the expense of the environment and Quebec. That is the reality. Abandoning 1990 means refusing to recognize past efforts and working against sustainable development. If the minister wishes to maintain credibility when he talks about fighting greenhouse gas emissions, what is he waiting for to use 1990 as the reference year, establish absolute targets and promote a carbon exchange?', ""Mr. Speaker, with the government's proposed plan, no progress in sustainable development is in sight and no real decrease in greenhouse gas emissions is anticipated. What we need is a carbon exchange, but in order to ensure its viability, we need absolute reduction targets for greenhouse gas emissions with 1990 as the reference year. Will the minister admit that with his plan that proposes 2006 as the reference year and intensity targets instead of absolute targets, he is playing into the hands of the oil companies?"", 'Mr. Speaker, the government’s refusal to adopt a credible plan to reduce greenhouse gas emissions penalizes Quebec. Quebec paper mills have reduced their greenhouse gas emissions by 41% since 1990, but the lack of absolute targets is preventing them from benefiting from this effort through carbon credits. Does the environment minister realize that as a result of his inaction, Quebec companies are losing a lot of money that they could access if Canada adopted the international community’s targets and such mechanisms as a carbon exchange?']",0.5294668,0.014688964916129553,0.5464709
45,44,146,44_economic_economy_plan_jobs,"['economic', 'economy', 'plan', 'jobs', 'canadas', 'our', 'finance', 'growth', 'please', 'focused']",Economic Growth and Job Creation Strategies,"[""Mr. Speaker, our Conservative government is focused on what matters to Canadians, jobs and economic growth. We are on the right track with Canada's economy growing in July and nearly 600,000 net new jobs created since July 2009. It is certainly an encouraging sign. We all know the global economy's recovery is fragile, especially in the U. S. and in Europe. That is why we are working hard to implement the next phase of Canada's economic action plan. Would the Minister of State for Finance please update the House on the implementation of the next phase of Canada's economic action plan?"", ""Mr. Speaker, while the NDP talks down Canada's economy, our Conservative government has a low tax plan for jobs and growth. Our plan has kept more money in the pockets of families and Canadian businesses to create jobs. While the NDP may not like it, lower taxes, and not costly new carbon taxes, help create jobs for Canadians and promote economic growth. Would the Parliamentary Secretary to the Minister of Finance please inform the House what Canada's manufacturers think of our low tax plan?"", ""Mr. Speaker, unlike the NDP and its job-killing carbon tax, our government's top priority is keeping taxes low and growing the economy with economic action plan 2012. Our plan is working with over 820,000 net new jobs created since July 2009, the best record in the G7. However, the global economy remains fragile, especially in Europe and the United States who are our largest trading partners. That is why we are taking the next step in our plan with the Jobs and Economic Growth Act 2012. Can the Minister of Finance please inform Canadians on how this legislation will support the Canadian economy?""]",0.5297114,0.013623554610236828,0.5456292
65,64,98,64_hst_tax_british_flood,"['hst', 'tax', 'british', 'flood', 'ontario', 'flooding', 'columbians', 'families', 'people', 'will']",HST Policy in Canada,"['Mr. Speaker, why is the Conservative government trying to shut down debate on the HST? During the provincial election the Liberal government said it would not harmonize the provincial sales tax with the GST, and then months later did just that. Now the Conservative government wants to ram through its HST legislation. The people of British Columbia are tired of being shut out of the debate on the HST. If the HST is such a good idea, why is the government trying to limit debate on it? What is it trying to hide?', 'Mr. Speaker, the premier of B. C. has just stepped down because of the failed HST, but we all know that the HST was imposed by the Conservative government. I want to ask the Prime Minister, when will his government listen to the people of B. C. and take responsibility for its failure on the HST?', 'Mr. Speaker, for most people in northern Ontario, HST is simply a new gas tax. In Parry Sound today, gas without HST is 98.9¢ a litre, with HST, $1.07 a litre; in Sioux Lookout it is $1.05 without HST and $1.14 with HST; in New Liskeard it is $1.04 without HST and $1.13 with HST. Why does the government and in fact why do Liberal MPs want to punish their constituents with this new gas tax? Why are they voting to enable HST in Ontario?']",0.5301939,0.01917697713362788,0.55009514
86,85,65,85_loan_guarantees_forestry_industry,"['loan', 'guarantees', 'forestry', 'industry', 'lumber', 'softwood', 'agreement', 'lawyers', 'companies', 'legal']",Forestry Industry Loan Guarantees,"['Mr. Speaker, the forestry industry is asking for loan guarantees because liquidity is dangerously low. This morning, at the Subcommittee on Canadian Industrial Sectors, all Quebec forestry representatives indicated that loan guarantees are legal under the softwood lumber agreement and important to their survival. Instead of sticking to their ideology, will the Conservatives respond to the alarm sounded by the forestry industry and finally provide loan guarantees?', 'Mr. Speaker, last October in a debate in the House, the Conservative Party called for a program of loan guarantees in the softwood lumber industry. One month later, it reiterated its call for such a program during a press conference with the Bloc and the NDP. During the election campaign, the Conservative Party promised loan guarantees to the softwood lumber industry. Yesterday, the Minister of Industry said he would reveal his intentions regarding loan guarantees in due course. Will the Prime Minister speak to his Minister of Industry and remind him that in due course means it is here and now that loan guarantees must be given?', 'Mr. Speaker, despite the difficulties experienced by the forestry industry, the ministers of this government continue to state that loan guarantees are illegal. Yesterday, the President of EDC stated that the government provided loan guarantees to forestry companies. Lawyers for the Government of Canada hold the same position and stated, before the LCIA tribunal, that loan guarantees are legal. I am asking the Prime Minister to clearly tell us that loan guarantees are legal or else to provide the section of the agreement where it is stated that they are not. He should get his facts straight.']",0.53057146,0.023781675930780313,0.55784214
40,39,166,39_oil_spill_drilling_coast,"['oil', 'spill', 'drilling', 'coast', 'gulf', 'waters', 'environmental', 'tanker', 'moratorium', 'offshore']",Environmental Spill Response Policy,"[""Mr. Speaker, we have seen the massive and immediate response to the gulf oil spill from the American government. The chair of Canada's safety regulator admitted yesterday that an accident could happen here, but there is no plan in place if a similar catastrophe were to occur in Canada, neither for the east coast, nor for the west coast, nor for the north. An oil spill on any Canadian coast would cost hundreds of millions of dollars, destroy fragile ecosystems, and cost livelihoods. Why does the government not have a plan to deal with a catastrophic oil spill, or do the members opposite not believe this is important?"", ""Mr. Speaker, when asked what the government's plan was for a potential oil spill cleanup in the Arctic, the Prime Minister said that the National Energy Board would handle everything. However, the most immediate threat of oil spills this summer could come drifting into Canadian Arctic waters from drilling in the American Beaufort Sea and foreign drilling in adjacent Greenland waters. These are not under the jurisdiction of NEB, but the Canadian Coast Guard. The government to date has not been able to confirm it has any cleanup plans. Again, what is the government's specific plan to clean up a foreign oil spill should one drift into the Canadian Arctic?"", 'Mr. Speaker, time and time again I have asked a simple question. What plan does the government have to clean up a catastrophic foreign oil spill that could drift into Canadian Arctic waters? Therefore, I ask this again. If there is a spill from a blown out well or a foreign tanker in waters off our coast, what plan does the government have to deal with it? What will happen to our Arctic coast? Will it simply leave it in the hands of the foreign private sector so our pristine Arctic beaches are polluted with globs of oil like in the Gulf of Mexico?']",0.5318323,0.013641700358793633,0.5597171
79,78,77,78_older_workers_program_income,"['older', 'workers', 'program', 'income', 'support', 'layoffs', '55', 'who', 'assistance', 'for']",Aged Workers' Support Program,"['Mr. Speaker, yesterday, the Bloc Québécois questioned the Prime Minister about the establishment of a program to help older workers. We concluded from his response that he did not understand the question. So, I will put it to him again. Since the government talks in its budget of the importance of helping older workers, will the Prime Minister confirm that, by the time the House adjourns in June, he will implement an income support program for older workers?', ""Mr. Speaker, the government's many promises to older workers are just lip service. When it is time to put forward concrete measures, it does very little. After acknowledging the problem in the throne speech and the budget, it completely abandoned older workers in yesterday's economic statement. Does the Minister of Finance realize that older workers need financial support now and that the message he is sending them is that it is more important for him to help the big oil companies get rich than it is to help older workers who are losing their jobs?"", 'Mr. Speaker, according to media reports, the government is preparing to table an assistance plan for older workers. Yet yesterday evening, this same government voted against a Bloc Québécois motion calling for an income support program for all older workers. Let us not forget that the government had made a commitment in the throne speech and the budget to create such a program. Are we to understand that the government is about to introduce a partial assistance program for older workers that does not cover all older workers?']",0.53389287,0.025445993493307992,0.56411266
11,10,573,10_infrastructure_municipalities_cities_transit,"['infrastructure', 'municipalities', 'cities', 'transit', 'projects', 'funding', 'fund', 'city', 'building', 'for']",Infrastructure Funding and Municipalities,"['Mr. Speaker, what the minister stated is just not true. Quite frankly, the Conservative government has put into place a 90% spending cut on infrastructure. Infrastructure matters to our cities. They cannot do it alone. They need co-operation with the federal government. Infrastructure means potholes, streets, sewer lines, and so much more. Why has this cruel Conservative government cut back on spending on infrastructure, when Canadian municipalities across this land need that money spent today?', 'Mr. Speaker, in the 2007 budget our government committed an unprecedented $33 billion to infrastructure. The funding will be available under the infrastructure plan, which is currently being developed. Could the Minister of Transport, Infrastructure and Communities tell the House what the government is doing right now to help communities meet their immediate infrastructure needs?', 'Mr. Speaker, Laval city council has unanimously adopted a motion calling for sporting, cultural, and recreational infrastructure projects to be eligible for funding under the Building Canada fund. Infrastructure projects of this nature are important to youth sport development and the cultural growth of our municipalities. The Minister of Infrastructure, Communities and Intergovernmental Affairs displayed some creativity when it came time to finance the ice oval in Quebec City. Will he also heed the request of the City of Laval and provide funding for these infrastructure projects under the Building Canada fund?']",0.5352216,0.007125283666576883,0.56131375
61,60,108,60_trade_american_protectionism_buy,"['trade', 'american', 'protectionism', 'buy', 'canadian', 'states', 'exports', 'protectionist', 'united', 'our']",Trade Protectionism and Job Losses,"['Mr. Speaker, when it comes to defending Canadians against U. S. protectionism, the government has failed consistently. DFAIT officials before a committee admitted that the government had failed to take pre-emptive action against buy American, even though President Obama has been stating made in America for months. The WTO found United States country of origin labelling is a trade violation and yet the government makes excuses. When will the Minister of International Trade realize that United States protectionism is something he must defend against, not make excuses for?', ""Mr. Speaker, during his visit to Washington, the Prime Minister talked to the American President about the dangers of protectionism. Under NAFTA, the American government does not have the right to engage in preferential purchasing, that is, buying only goods that originate in the United States. However, Mr. Obama's plan gets around the problem by forcing states and municipalities, which do not come under NAFTA rules, to buy American exclusively. Does the Minister of International Trade realize that the real problem is not the buy American act, but rather the American President's plan?"", 'Mr. Speaker, thousands of Canadian jobs are at risk because of U. S. protectionism. Yesterday the industry minister was absolutely wrong when he said that the government only needs to make sure the Americans live up to their trade obligations. What the minister did not know was that NAFTA and WTO trade rules do not protect Canada against U. S. state and local government protectionism. Why does the Conservative government not understand its own free trade agreements, and when will it start fighting for and protecting Canadian jobs?']",0.54009163,0.01384652653487178,0.55486214
64,63,101,63_internet_access_rural_crtc,"['internet', 'access', 'rural', 'crtc', 'digital', 'consumers', 'cellphone', 'broadband', 'telecommunications', 'competition']",Digital Divide and Internet Access,"['Mr. Speaker, that did not answer my question. It is not just the CFI that is at risk, but so is the community access program, a program that gives Internet access to the most remote communities in Canada. Does the minister not know that if one does not have Internet access one is just out of the game? Research, innovation, education and Internet access, does the minister not understand the importance of these investments or does he just lack the clout at the cabinet table?', 'Mr. Speaker, cutting the Internet community access program will leave disadvantaged groups without access to information and government programs. Just 54% of low-income households have access to the Internet. The Conservatives can afford to pay for $700-a-night hotel rooms, but not all families can afford to pay $50 a month for Internet service. Does the minister really believe that funding Internet access in libraries and community centres is not necessary?', ""Mr. Speaker, Canada was once a leader in terms of Internet access, but it has been moving backward for a few years now. The CRTC's decision to allow usage-based Internet billing will send Canada back to the digital stone age. Will the minister show some leadership and ask the CRTC to review this decision in order to protect consumers?""]",0.5407316,0.018940126261039077,0.58174145
4,3,746,3_torture_afghan_detainees_prisoners,"['torture', 'afghan', 'detainees', 'prisoners', 'afghanistan', 'defence', 'that', 'allegations', 'detainee', 'of']",Torture and Detainee Abuse in Afghanistan,"['Mr. Speaker, a number of reliable sources have confirmed that detainees transferred from the Canadian army to Afghan authorities were tortured. In addition to Richard Colvin, both a senior NATO official and the Afghan Independent Human Rights Commission have confirmed this. Even an Afghan prison warden has confirmed it. Nevertheless, the government insists that these allegations are unfounded. According to the Geneva Convention, all transfers of detainees must be halted if there is a risk of torture. Will the minister admit that he acted irresponsibly by ignoring the many people who have confirmed that torture took place?', 'Mr. Speaker, in 2006, Human Rights Watch sent NATO members a report confirming the use of torture in Afghan prisons. A 2006 report produced by senior officials in the Department of Foreign Affairs came to the same conclusion. Yesterday, the Minister of Public Safety said that two correctional services officials had provided statements from detainees who claimed to have been tortured by Afghan authorities. In light of this evidence, will the Prime Minister stop transferring detainees to the Afghan authorities, and will he call for an independent inquiry?', 'Mr. Speaker, the credible information we heard in committee confirmed that a great many witnesses, if not all of them, knew that there were problems with the Afghan prisons. Every day, new information is coming to light about the torture of Afghan detainees. All this information tends to confirm that Canada failed to meet its obligations under the Geneva convention. Before the House rises for the holidays, will the government announce that it is setting up an independent public commission of inquiry on the torture of Afghan detainees?']",0.5409033,0.005522810062453619,0.54925895
70,69,93,69_gas_prices_price_consumers,"['gas', 'prices', 'price', 'consumers', 'oil', 'competition', 'pumps', 'litre', 'companies', 'bureau']",Fuel Price Regulation,"[""Mr. Speaker, Canadians are not only getting squeezed by propane prices, they are getting gouged at the gas pumps, too. In Sudbury, gas prices are $1.40 a litre, and in the GTA they are $1.35 a litre. These price spikes hurt Canadians and have nothing to do with market forces. Why will the Conservatives not support the NDP's long-standing call for a gas ombudsman to ensure competitive prices? Why will the Conservatives not stand up for Canadians getting hosed at the pumps?"", 'Mr. Speaker, March break is coming up, and as usual, oil companies will take the opportunity to hike gas prices. In Montreal yesterday, the average gas price was $1.40 per litre. In 2006, when the Conservatives came to power, the average annual price of gas in Montreal was just $1 per litre. Under this Conservative government, the price of gas has risen by 40%. My question is simple: will the Conservatives introduce measures to prevent oil company collusion so that consumers will no longer get ripped off at the pump?', 'Mr. Speaker, working families are facing rising gas prices at the pump. At the same time, oil companies are raking in record profits at the expense of consumers. The Competition Bureau is totally ineffective in this measure. It does not have the power to stop gas prices from rising and it does not have the backbone to tell the big oil industry that Canadians are sick and tired of being hosed at the pumps. There have been six investigations and zero results. After six failures, it is time to get serious about this and have a full-blown public inquiry. Why would the government not move on a public inquiry? It is what is needed right now for consumers in our country.']",0.54094845,0.017978430772491165,0.56367207
1,0,1037,0_climate_change_environment_kyoto,"['climate', 'change', 'environment', 'kyoto', 'greenhouse', 'emissions', 'gas', 'targets', 'plan', 'the']",Climate Change Policy,"[""Mr. Speaker, in Durban, the Minister of the Environment refused to say whether or not the government was pulling out of the Kyoto protocol. India's environment minister criticized the fact that Canada, which signed and ratified the Kyoto protocol, was considering withdrawing from it without so much as a good-bye. The government is breaking its promises to the international community and to Canadians who want leadership on climate change. When will the government pull its own weight in the fight against climate change?"", ""Mr. Speaker, the Prime Minister's only target in the fight against climate change is to not meet any targets, and it has to be said that he is doing a very good job at that. The Conservative government would rather lobby secretly for big oil in Alberta. Will the Prime Minister finally admit that the fight against climate change is not his priority and never will be, regardless of how climate change will affect the environment?"", 'Mr. Speaker, it is false to claim that taking action against climate change is bad for jobs and growth. Otherwise, Finland would not have just announced that it will reduce emissions by 80% by 2050, and the United States would not have committed to reaching its Copenhagen targets. Yesterday, our Prime Minister sadly took his place among world leaders who are failing on climate change. Will the minister now correct the Prime Minister and acknowledge that growing our economy and fighting climate change must be done together?']",0.54154044,0.00499289023165418,0.5649283
39,38,168,38_forestry_industry_forest_workers,"['forestry', 'industry', 'forest', 'workers', 'help', 'jobs', 'sector', 'crisis', 'in', 'communities']",Forestry Industry Support,"['Mr. Speaker, it is all very well for the government to introduce another omnibus budget implementation bill. Forestry workers in Quebec know that they will not be getting their share. While hundreds of millions of dollars will go to the fishers in Newfoundland, while half a billion dollars will go to the auto industry in Ontario, the forestry industry in Quebec will have to settle for crumbs, despite the challenges that remain. One might think that the forestry workers in Quebec are not worth as much to the Conservatives as other workers. Is there a minister from Quebec who understands the importance of the forestry industry in Quebec and will ensure that it gets its fair share?', 'Mr. Speaker, thousands of forestry workers in B. C. have lost their jobs, while this minister is delivering a lot of words. The industry has been ignored by the Conservatives. Worse, they killed the 2005 Liberal plan to allocate $1.5 billion to this vital industry. This included over $300 million for innovation that would have helped to sustain forestry jobs. The Conservatives are failing to support laid off workers and hard hit forestry communities. Why is the government helping some sectors but completely abandoning forestry?', ""Mr. Speaker, the Prime Minister justified helping the auto sector by saying that demand had plummeted and that it affects thousands of indirect jobs, and that is true, but that is what is happening in the forestry industry too. The forestry industry is also critical to the survival of entire regions, and the industry's problems affect thousands of indirect jobs. What is good for the auto sector should also be good for the forestry industry. Can the Prime Minister explain why he has given so little financial help to the forestry industry?""]",0.5445043,0.014560779398182993,0.5581565
